,버스노선번호,몇번째 정류장,노선이름
0,1,1,천안시청
1,1,2,천안시청 서북구보건소
2,1,3,불당동일하이빌
3,1,4,불당대동다숲
4,1,5,불당한성아파트
5,1,6,천안교육지원청
6,1,7,충남북부상공회의소
7,1,8,패션1광장
8,1,9,펜타포트
9,1,10,서당골
10,1,11,갤러리아백화점
11,1,12,불당동문화카페거리
12,1,13,월봉중학교
13,1,14,한화꿈에그린아파트
14,1,15,쌍용도서관
15,1,16,월봉벽산아파트
16,1,17,월봉5차현대아파트
17,1,18,쌍용고입구
18,1,19,삼일원앙아파트
19,1,20,쌍용역해누리아이파크
20,1,21,쌍용고가교
21,1,22,쌍용동 이마트
22,1,23,충무병원
23,1,24,다가동신성아파트YWCA
24,1,25,일봉초등학교
25,1,26,남부오거리
26,1,27,우성VIP 아파트
27,1,28,천안여중입구
28,1,29,원성극동아파트
29,1,30,교보사거리
30,1,31,교보생명
31,1,32,중앙고등학교
32,1,33,신부경남아파트
33,1,34,고속터미널
34,1,35,가구웨딩특화거리
35,1,36,백석사거리
36,1,37,백석종합상가
37,1,38,백석초등학교
38,1,39,주공그린빌3차아파트
39,1,40,백석11단지
40,1,41,천안시청
41,1,42,천안시청시의회
42,1,43,종합운동장
43,1,44,벽산블루밍아파트
44,1,45,한국더첼
45,1,46,화이트스톤
46,1,47,한들문화센터입구
47,1,48,영진기계
48,1,49,백석농공단지
49,2,1,백석농공단지
50,2,2,화성조명
51,2,3,한들문화센터입구
52,2,4,STS
53,2,5,제네시스
54,2,6,브라운스톤아파트
55,2,7,벽산블루밍아파트
56,2,8,종합운동장
57,2,9,천안시청시의회
58,2,10,천안시청
59,2,11,백석호반1차아파트
60,2,12,백석호반2차아파트
61,2,13,백석초등학교
62,2,14,백석종합상가
63,2,15,백석현대아파트
64,2,16,백석사거리
65,2,17,가구웨딩특화거리
66,2,18,우방아이유셀아파트
67,2,19,종합터미널
68,2,20,신부경남아파트
69,2,21,천안중학교
70,2,22,교보생명
71,2,23,교보사거리
72,2,24,원성극동아파트
73,2,25,천안여중입구
74,2,26,우성VIP 아파트
75,2,27,남부오거리
76,2,28,일봉초등학교
77,2,29,다가동신성아파트
78,2,30,충무병원
79,2,31,쌍용동 이마트
80,2,32,이화여성병원
81,2,33,쌍용역예일병원계룡아파트
82,2,34,쌍용고입구
83,2,35,월봉대우아파트
84,2,36,월봉벽산아파트
85,2,37,불당 한성아파트
86,2,38,월봉고등학교
87,2,39,갤러리아백화점
88,2,40,불당시티프라디움3차
89,2,41,아산패션1광장
90,2,42,충남북부상공회의소
91,2,43,천안교육지원청
92,2,44,불당한성아파트
93,2,45,불당동행정복지센터
94,2,46,불당동일하이빌
95,2,47,천안시청 서북구보건소
96,2,48,천안시청
97,3,1,천안시청
98,3,2,천안시청시의회
99,3,3,불당상업지구입구
100,3,4,서울대정병원
101,3,5,불당현대아이파크
102,3,6,마디손병원
103,3,7,와이시티
104,3,8,패션2광장
105,3,9,충남북부상공회의소
106,3,10,천안교육지원청
107,3,11,한화꿈에그린아파트
108,3,12,월봉청솔아파트
109,3,13,용암마을
110,3,14,쌍용한라동백아파트
111,3,15,쌍용동사거리
112,3,16,충무병원
113,3,17,다가동신성아파트YWCA
114,3,18,일봉초등학교
115,3,19,남부오거리
116,3,20,농협원성점
117,3,21,청과시장
118,3,22,버들육거리
119,3,23,동남구보건소
120,3,24,천안역
121,3,25,삼도상가
122,3,26,복자여자중고등학교
123,3,27,방죽안오거리
124,3,28,종합터미널
125,3,29,대림한숲아파트
126,3,30,대림한내아파트
127,3,31,역말오거리
128,3,32,이안아파트 코아루아파트
129,3,33,두정역푸르지오
130,3,34,두정역
131,3,35,두정대우1차아파트
132,3,36,두정대림아파트
133,3,37,두정도서관
134,3,38,두정고등학교
135,3,39,두정대우5차아파트
136,3,40,두정세광아파트
137,3,41,두정부경아파트
138,3,42,한방병원
139,3,43,백석그린빌아파트
140,3,44,백석11단지
141,3,45,천안시청
142,4,1,천안시청
143,4,2,백석11단지
144,4,3,백석그린빌아파트
145,4,4,두정부경아파트
146,4,5,두정세광아파트
147,4,6,두정대우5차아파트
148,4,7,두정도서관
149,4,8,펜타폴리스 2차
150,4,9,두정대우1차아파트
151,4,10,두정역
152,4,11,두정역입구
153,4,12,이안아파트 코아루아파트
154,4,13,역말오거리
155,4,14,대림한내아파트
156,4,15,대림한숲아파트
157,4,16,종합터미널
158,4,17,방죽안오거리
159,4,18,복자여자중고등학교
160,4,19,삼도상가
161,4,20,천안역
162,4,21,동남구보건소
163,4,22,버들육거리
164,4,23,청과시장
165,4,24,농협원성점
166,4,25,남부오거리
