,위도,경도,주소
8,36.94880627,127.08778741,"노와길, 성환읍, 서북구, 천안시, 충청남도, 18001, 대한민국"
19,36.95131105,127.0942881,"노와길, 성환읍, 서북구, 천안시, 충청남도, 18001, 대한민국"
92,36.96443966,127.11952574,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31003, 대한민국"
93,36.96399296,127.12005408,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31003, 대한민국"
94,36.9619402,127.1254315,"성환읍, 서북구, 천안시, 충청남도, 31003, 대한민국"
95,36.95669627,127.12954907,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31003, 대한민국"
96,36.9619677,127.1255887,"성환읍, 서북구, 천안시, 충청남도, 31003, 대한민국"
97,36.95571297,127.13013908,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31003, 대한민국"
98,36.9480054,127.1325609,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31003, 대한민국"
99,36.94933632,127.13231908,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31003, 대한민국"
100,36.94633466,127.13288074,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31003, 대한민국"
101,36.94615489,127.13331579,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31003, 대한민국"
102,36.93843296,127.13435907,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31003, 대한민국"
103,36.93176964,127.13410908,"성환22길, 성환읍, 서북구, 천안시, 충청남도, 31013, 대한민국"
104,36.93229797,127.1344624,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31022, 대한민국"
105,36.92925798,127.13425574,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31022, 대한민국"
106,36.92884631,127.13404741,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31022, 대한민국"
107,36.92347629,127.1346624,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31022, 대한민국"
108,36.92336465,127.1344274,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31022, 대한민국"
109,36.9487585,127.1341577,"연암로, 성환읍, 서북구, 천안시, 충청남도, 31005, 대한민국"
110,36.94976127,127.14174407,"연암로, 성환읍, 서북구, 천안시, 충청남도, 31005, 대한민국"
111,36.94627127,127.14962074,"무내1길, 성환읍, 서북구, 천안시, 충청남도, 31005, 대한민국"
112,36.94339467,127.15063682,"무내2길, 성환읍, 서북구, 천안시, 충청남도, 31005, 대한민국"
113,36.9420418,127.1564822,"연암로, 성환읍, 서북구, 천안시, 충청남도, 31005, 대한민국"
114,36.9440399,127.1585228,"연암대학교, 313, 연암로, 성환읍, 서북구, 천안시, 충청남도, 31005, 대한민국"
115,36.94592493,127.16187285,"연암대학교, 313, 연암로, 성환읍, 서북구, 천안시, 충청남도, 31005, 대한민국"
116,36.94769411,127.16403137,"연암로, 성환읍, 서북구, 천안시, 충청남도, 31005, 대한민국"
117,36.95448794,127.17808574,"연암로, 입장면, 서북구, 천안시, 충청남도, 17602, 대한민국"
118,36.9407913,127.1792908,"용정도하길, 입장면, 서북구, 천안시, 충청남도, 31005, 대한민국"
119,36.9379979,127.1830734,"용정도하길, 입장면, 서북구, 천안시, 충청남도, 31005, 대한민국"
120,36.9347908,127.1889787,"용정도하길, 입장면, 서북구, 천안시, 충청남도, 31041, 대한민국"
121,36.925789,127.1886594,"입장면, 서북구, 천안시, 충청남도, 31027, 대한민국"
122,36.9217472,127.1925684,"섶머리1길, 입장면, 서북구, 천안시, 충청남도, 31027, 대한민국"
