,정류장번호,정류장명,위도,경도,정보수집일시,모바일단축번호,도시코드,도시명,관리도시명,주소
0,CAB214010094,노와4리(1반),36.94880627,127.08778741,20221012050102.0,10094.0,34010.0,천안시,천안,"노와길, 성환읍, 서북구, 천안시, 충청남도, 18001, 대한민국"
1,CAB214015763,노와2리,36.95131105,127.0942881,20221012050102.0,15763.0,34010.0,천안시,천안,"노와길, 성환읍, 서북구, 천안시, 충청남도, 18001, 대한민국"
2,CAB285000038,안궁5리,36.96443966,127.11952574,20221012050102.0,38.0,34010.0,천안시,천안,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31003, 대한민국"
3,CAB285000039,안궁5리(문화촌),36.96399296,127.12005408,20221012050102.0,39.0,34010.0,천안시,천안,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31003, 대한민국"
4,CAB285000040,안궁3리(가룡),36.9619402,127.1254315,20221012050102.0,40.0,34010.0,천안시,천안,"성환읍, 서북구, 천안시, 충청남도, 31003, 대한민국"
5,CAB285000041,안궁4리(신안동),36.95669627,127.12954907,20221012050102.0,42.0,34010.0,천안시,천안,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31003, 대한민국"
6,CAB285000042,안궁3리,36.9619677,127.1255887,20221012050102.0,41.0,34010.0,천안시,천안,"성환읍, 서북구, 천안시, 충청남도, 31003, 대한민국"
7,CAB285000043,안궁리,36.95571297,127.13013908,20221012050102.0,43.0,34010.0,천안시,천안,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31003, 대한민국"
8,CAB285000044,대홍5리,36.9480054,127.1325609,20221012050102.0,44.0,34010.0,천안시,천안,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31003, 대한민국"
9,CAB285000045,대홍5리 홍천,36.94933632,127.13231908,20221012050102.0,45.0,34010.0,천안시,천안,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31003, 대한민국"
10,CAB285000046,대홍5리,36.94633466,127.13288074,20221012050102.0,46.0,34010.0,천안시,천안,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31003, 대한민국"
11,CAB285000047,대홍5리,36.94615489,127.13331579,20221012050102.0,47.0,34010.0,천안시,천안,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31003, 대한민국"
12,CAB285000050,대홍1리(대정),36.93843296,127.13435907,20221012050102.0,50.0,34010.0,천안시,천안,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31003, 대한민국"
13,CAB285000051,대홍4리(갯방죽),36.93176964,127.13410908,20221012050102.0,51.0,34010.0,천안시,천안,"성환22길, 성환읍, 서북구, 천안시, 충청남도, 31013, 대한민국"
14,CAB285000052,대홍4리(갯방죽),36.93229797,127.1344624,20221012050102.0,52.0,34010.0,천안시,천안,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31022, 대한민국"
15,CAB285000053,희성폴리머,36.92925798,127.13425574,20221012050102.0,53.0,34010.0,천안시,천안,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31022, 대한민국"
16,CAB285000054,희성폴리머,36.92884631,127.13404741,20221012050102.0,54.0,34010.0,천안시,천안,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31022, 대한민국"
17,CAB285000055,장로교회,36.92347629,127.1346624,20221012050102.0,55.0,34010.0,천안시,천안,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31022, 대한민국"
18,CAB285000056,장로교회,36.92336465,127.1344274,20221012050102.0,56.0,34010.0,천안시,천안,"천안대로, 성환읍, 서북구, 천안시, 충청남도, 31022, 대한민국"
19,CAB285000057,대홍리,36.9487585,127.1341577,20221012050102.0,57.0,34010.0,천안시,천안,"연암로, 성환읍, 서북구, 천안시, 충청남도, 31005, 대한민국"
20,CAB285000058,수향1리(지족향),36.94976127,127.14174407,20221012050102.0,58.0,34010.0,천안시,천안,"연암로, 성환읍, 서북구, 천안시, 충청남도, 31005, 대한민국"
21,CAB285000059,수향2리(무내),36.94627127,127.14962074,20221012050102.0,59.0,34010.0,천안시,천안,"무내1길, 성환읍, 서북구, 천안시, 충청남도, 31005, 대한민국"
22,CAB285000060,수향2리,36.94339467,127.15063682,20221012050102.0,60.0,34010.0,천안시,천안,"무내2길, 성환읍, 서북구, 천안시, 충청남도, 31005, 대한민국"
23,CAB285000061,수향3리,36.9420418,127.1564822,20221012050102.0,61.0,34010.0,천안시,천안,"연암로, 성환읍, 서북구, 천안시, 충청남도, 31005, 대한민국"
24,CAB285000062,천안연암대학교,36.9440399,127.1585228,20221012050102.0,62.0,34010.0,천안시,천안,"연암대학교, 313, 연암로, 성환읍, 서북구, 천안시, 충청남도, 31005, 대한민국"
25,CAB285000063,도하3리,36.94592493,127.16187285,20221012050102.0,63.0,34010.0,천안시,천안,"연암대학교, 313, 연암로, 성환읍, 서북구, 천안시, 충청남도, 31005, 대한민국"
26,CAB285000064,도하1리(도감말),36.94769411,127.16403137,20221012050102.0,64.0,34010.0,천안시,천안,"연암로, 성환읍, 서북구, 천안시, 충청남도, 31005, 대한민국"
27,CAB285000065,양령리,36.95448794,127.17808574,20221012050102.0,65.0,34010.0,천안시,천안,"연암로, 입장면, 서북구, 천안시, 충청남도, 17602, 대한민국"
28,CAB285000066,산정1리(산우물),36.9407913,127.1792908,20221012050102.0,66.0,34010.0,천안시,천안,"용정도하길, 입장면, 서북구, 천안시, 충청남도, 31005, 대한민국"
29,CAB285000067,흑암리,36.9379979,127.1830734,20221012050102.0,67.0,34010.0,천안시,천안,"용정도하길, 입장면, 서북구, 천안시, 충청남도, 31005, 대한민국"
30,CAB285000068,가산1리(토산),36.9347908,127.1889787,20221012050102.0,68.0,34010.0,천안시,천안,"용정도하길, 입장면, 서북구, 천안시, 충청남도, 31041, 대한민국"
31,CAB285000069,용정1리(강당),36.925789,127.1886594,20221012050102.0,69.0,34010.0,천안시,천안,"입장면, 서북구, 천안시, 충청남도, 31027, 대한민국"
32,CAB285000070,용정2리,36.9217472,127.1925684,20221012050102.0,70.0,34010.0,천안시,천안,"섶머리1길, 입장면, 서북구, 천안시, 충청남도, 31027, 대한민국"
33,CAB285000071,신두1리,36.91665547,127.2022187,20221012050102.0,71.0,34010.0,천안시,천안,"섶머리1길, 입장면, 서북구, 천안시, 충청남도, 31054, 대한민국"
34,CAB285000072,연곡2리 갈산지,36.94881355,127.19691889,20221012050102.0,72.0,34010.0,천안시,천안,"연곡길, 입장면, 서북구, 천안시, 충청남도, 17602, 대한민국"
35,CAB285000073,연곡1리,36.95478797,127.18607575,20221012050102.0,73.0,34010.0,천안시,천안,"연곡길, 입장면, 서북구, 천안시, 충청남도, 17602, 대한민국"
36,CAB285000077,성환8리,36.92149462,127.12276741,20221012050102.0,77.0,34010.0,천안시,천안,"신방로, 성환읍, 서북구, 천안시, 충청남도, 31002, 대한민국"
37,CAB285000078,송덕,36.92381631,127.11897741,20221012050102.0,78.0,34010.0,천안시,천안,"신방로, 성환읍, 서북구, 천안시, 충청남도, 31002, 대한민국"
38,CAB285000079,국립축산과학원입구,36.9257942,127.1120326,20221012050102.0,79.0,34010.0,천안시,천안,"삼사로, 성환읍, 서북구, 천안시, 충청남도, 31008, 대한민국"
39,CAB285000080,국립축산과학원입구,36.9256904,127.1119714,20221012050102.0,80.0,34010.0,천안시,천안,"신방로, 성환읍, 서북구, 천안시, 충청남도, 31000, 대한민국"
40,CAB285000082,기린빌라,36.92652779,127.11754706,20221012050102.0,82.0,34010.0,천안시,천안,"와룡길, 성환읍, 서북구, 천안시, 충청남도, 31002, 대한민국"
41,CAB285000083,우신1리(경로당),36.92953195,127.11702939,20221012050102.0,83.0,34010.0,천안시,천안,"와룡길, 성환읍, 서북구, 천안시, 충청남도, 31002, 대한민국"
42,CAB285000084,우신1리,36.93665425,127.11664813,20221012050102.0,84.0,34010.0,천안시,천안,"와룡길, 성환읍, 서북구, 천안시, 충청남도, 31002, 대한민국"
43,CAB285000085,어룡리,36.94206623,127.11828148,20221012050102.0,85.0,34010.0,천안시,천안,"와룡길, 성환읍, 서북구, 천안시, 충청남도, 31002, 대한민국"
