,버스노선번호,몇번째 정류장,노선이름
0,1,1,1
1,1,2,천안시청
2,1,3,천안시청 서북구보건소
3,1,4,불당동일하이빌
4,1,5,불당대동다숲
5,1,6,불당한성아파트
6,1,7,천안교육지원청
7,1,8,충남북부상공회의소
8,1,9,패션1광장
9,1,10,펜타포트
10,1,11,서당골
11,1,12,갤러리아백화점
12,1,13,불당동문화카페거리
13,1,14,월봉중학교
14,1,15,한화꿈에그린아파트
15,1,16,쌍용도서관
16,1,17,월봉벽산아파트
17,1,18,월봉5차현대아파트
18,1,19,쌍용고입구
19,1,20,삼일원앙아파트
20,1,21,쌍용역해누리아이파크
21,1,22,쌍용고가교
22,1,23,쌍용동 이마트
23,1,24,충무병원
24,1,25,다가동신성아파트YWCA
25,1,26,일봉초등학교
26,1,27,남부오거리
27,1,28,우성VIP 아파트
28,1,29,천안여중입구
29,1,30,원성극동아파트
30,1,31,교보사거리
31,1,32,교보생명
32,1,33,중앙고등학교
33,1,34,신부경남아파트
34,1,35,고속터미널
35,1,36,가구웨딩특화거리
36,1,37,백석사거리
37,1,38,백석종합상가
38,1,39,백석초등학교
39,1,40,주공그린빌3차아파트
40,1,41,백석11단지
41,1,42,천안시청
42,1,43,천안시청시의회
43,1,44,종합운동장
44,1,45,벽산블루밍아파트
45,1,46,한국더첼
46,1,47,화이트스톤
47,1,48,한들문화센터입구
48,1,49,영진기계
49,1,50,백석농공단지
50,2,1,1
51,2,2,백석농공단지
52,2,3,화성조명
53,2,4,한들문화센터입구
54,2,5,STS
55,2,6,제네시스
56,2,7,브라운스톤아파트
57,2,8,벽산블루밍아파트
58,2,9,종합운동장
59,2,10,천안시청시의회
60,2,11,천안시청
61,2,12,백석호반1차아파트
62,2,13,백석호반2차아파트
63,2,14,백석초등학교
64,2,15,백석종합상가
65,2,16,백석현대아파트
66,2,17,백석사거리
67,2,18,가구웨딩특화거리
68,2,19,우방아이유셀아파트
69,2,20,종합터미널
70,2,21,신부경남아파트
71,2,22,천안중학교
72,2,23,교보생명
73,2,24,교보사거리
74,2,25,원성극동아파트
75,2,26,천안여중입구
76,2,27,우성VIP 아파트
77,2,28,남부오거리
78,2,29,일봉초등학교
79,2,30,다가동신성아파트
80,2,31,충무병원
81,2,32,쌍용동 이마트
82,2,33,이화여성병원
83,2,34,쌍용역예일병원계룡아파트
84,2,35,쌍용고입구
85,2,36,월봉대우아파트
86,2,37,월봉벽산아파트
87,2,38,불당 한성아파트
88,2,39,월봉고등학교
89,2,40,갤러리아백화점
90,2,41,불당시티프라디움3차
91,2,42,아산패션1광장
92,2,43,충남북부상공회의소
93,2,44,천안교육지원청
94,2,45,불당한성아파트
95,2,46,불당동행정복지센터
96,2,47,불당동일하이빌
97,2,48,천안시청 서북구보건소
98,2,49,천안시청
99,3,1,10
100,3,2,천안시청
101,3,3,천안시청시의회
102,3,4,불당상업지구입구
103,3,5,서울대정병원
104,3,6,불당현대아이파크
105,3,7,마디손병원
106,3,8,와이시티
107,3,9,패션2광장
108,3,10,충남북부상공회의소
109,3,11,천안교육지원청
110,3,12,한화꿈에그린아파트
111,3,13,월봉청솔아파트
112,3,14,용암마을
113,3,15,쌍용한라동백아파트
114,3,16,쌍용동사거리
115,3,17,충무병원
116,3,18,다가동신성아파트YWCA
117,3,19,일봉초등학교
118,3,20,남부오거리
119,3,21,농협원성점
120,3,22,청과시장
121,3,23,버들육거리
122,3,24,동남구보건소
123,3,25,천안역
124,3,26,삼도상가
125,3,27,복자여자중고등학교
126,3,28,방죽안오거리
127,3,29,종합터미널
128,3,30,대림한숲아파트
129,3,31,대림한내아파트
130,3,32,역말오거리
131,3,33,이안아파트 코아루아파트
132,3,34,두정역푸르지오
133,3,35,두정역
134,3,36,두정대우1차아파트
135,3,37,두정대림아파트
136,3,38,두정도서관
137,3,39,두정고등학교
