정류장번호,정류장명,위도,경도,도시코드,도시명,주소
CAB214000026,삼성생명,36.9938834,127.0896493,34010,천안시,"평택2로, 평택동, 평택시, 경기도, 17910, 대한민국"
CAB214000027,경찰서,36.9933478,127.0890847,34010,천안시,"평택2로, 평택동, 평택시, 경기도, 17910, 대한민국"
CAB214000030,평택역,36.9915335,127.087084,34010,천안시,"평택로, 평택동, 평택시, 경기도, 17917, 대한민국"
CAB214000033,신평11통(유천3리),36.9730529,127.1066877,34010,천안시,"유천로, 유천동, 평택시, 경기도, 17903, 대한민국"
CAB214001064,신평9통(유천1리),36.9767328,127.1155617,34010,천안시,"유천로, 유천동, 평택시, 경기도, 17903, 대한민국"
CAB214001065,유천2리,36.9768048,127.1113649,34010,천안시,"유천로, 유천동, 평택시, 경기도, 17903, 대한민국"
CAB214001664,신평11동(유천3리),36.9729227,127.1068232,34010,천안시,"유천로, 유천동, 평택시, 경기도, 17903, 대한민국"
CAB214010093,안성천교,36.97262129,127.11591741,34010,천안시,"경기대로, 유천동, 평택시, 경기도, 17902, 대한민국"
CAB214010094,노와4리(1반),36.94880627,127.08778741,34010,천안시,"노와길, 성환읍, 노와리, 평택시, 경기도, 18001, 대한민국"
CAB214015653,추팔리(종점),36.95410217,127.07940309,34010,천안시,"127, 추팔산단로, 평택추팔일반산업단지, 추팔리, 평택시, 경기도, 17998, 대한민국"
CAB214015659,노와4리,36.9513387,127.0797702,34010,천안시,"추팔리, 평택시, 경기도, 18001, 대한민국"
CAB214015664,"노와4리,대사2리",36.95106023,127.07993397,34010,천안시,"대사로, 대사리, 평택시, 경기도, 18001, 대한민국"
CAB214015722,평택버스터미널,36.99098805,127.08856673,34010,천안시,"해도식당, 28, 평택로32번길, 평택동, 평택시, 경기도, 17912, 대한민국"
CAB214015723,평택버스터미널앞,36.99028,127.08771,34010,천안시,"평택로, 평택동, 평택시, 경기도, 17909, 대한민국"
CAB214015730,박애병원,36.9921773,127.0894742,34010,천안시,"평택2로20번길, 평택동, 평택시, 경기도, 17910, 대한민국"
CAB214015731,평택경찰서사거리,36.9937251,127.08977044,34010,천안시,"평택2로, 평택동, 평택시, 경기도, 17910, 대한민국"
CAB214015754,성동초등학교앞,36.99351468,127.09354622,34010,천안시,"중앙로, 합정동, 평택시, 경기도, 17897, 대한민국"
CAB214015760,노와2리,36.95139976,127.09515365,34010,천안시,"노와2길, 노와리, 평택시, 경기도, 18001, 대한민국"
CAB214015761,한광고교입구,36.9935163,127.09447741,34010,천안시,"평택성동초등학교, 89, 중앙로, 합정동, 평택시, 경기도, 17896, 대한민국"
CAB214015763,노와2리,36.95131105,127.0942881,34010,천안시,"노와길, 성환읍, 노와리, 평택시, 경기도, 18001, 대한민국"
CAB214015774,합정동주공3단지후문앞,36.99280745,127.09718907,34010,천안시,"중앙로, 합정동, 평택시, 경기도, 17897, 대한민국"
CAB214015776,합정동주공3단지후문,36.99272297,127.09833908,34010,천안시,"중앙로, 합정동, 평택시, 경기도, 17897, 대한민국"
CAB214015794,평택여중사거리,36.99201276,127.1019229,34010,천안시,"중앙로, 합정동, 평택시, 경기도, 17899, 대한민국"
CAB214015801,신한중고등학교,36.99126711,127.1044628,34010,천안시,"중앙로, 합정동, 평택시, 경기도, 17899, 대한민국"
CAB214015802,신한중고등학교,36.99142311,127.10453978,34010,천안시,"중앙로, 합정동, 평택시, 경기도, 17899, 대한민국"
CAB214015808,유천3동,36.97300384,127.10593962,34010,천안시,"신평로, 유천동, 평궁리, 평택시, 경기도, 17915, 대한민국"
CAB214015811,유천3동,36.9729404,127.10639149,34010,천안시,"신평로, 유천동, 평궁리, 평택시, 경기도, 17915, 대한민국"
CAB214015815,한전앞,36.99075795,127.10770407,34010,천안시,"평택고등학교, 2446, 중앙로, 합정동, 평택시, 경기도, 17903, 대한민국"
CAB214015832,평택시청,36.99191638,127.11149201,34010,천안시,"한빛성세노인전문병원, 65, 평택5로, 평택시, 경기도, 17900, 대한민국"
