,정류장번호,정류장명,위도,경도,도시코드,도시명,버스노선번호,몇번째 정류장,노선구분,key
0,CAB214000026,삼성생명,36.9938834,127.0896493,34010,천안시,131,7,44,44--7
1,CAB214000027,경찰서,36.9933478,127.0890847,34010,천안시,131,17,43,43--17
2,CAB214000030,평택역,36.9915335,127.087084,34010,천안시,130,16,42,42--16
3,CAB214000033,신평11통(유천3리),36.9730529,127.1066877,34010,천안시,130,14,42,42--14
4,CAB214000033,신평11통(유천3리),36.9730529,127.1066877,34010,천안시,131,14,43,43--14
5,CAB214001064,신평9통(유천1리),36.9767328,127.1155617,34010,천안시,130,6,41,41--6
6,CAB214001064,신평9통(유천1리),36.9767328,127.1155617,34010,천안시,130,12,42,42--12
7,CAB214001064,신평9통(유천1리),36.9767328,127.1155617,34010,천안시,131,12,43,43--12
8,CAB214001064,신평9통(유천1리),36.9767328,127.1155617,34010,천안시,131,14,44,44--14
9,CAB214015845,신평9통(유천1리),36.97687871,127.11551178,34010,천안시,130,6,41,41--6
10,CAB214015845,신평9통(유천1리),36.97687871,127.11551178,34010,천안시,130,12,42,42--12
11,CAB214015845,신평9통(유천1리),36.97687871,127.11551178,34010,천안시,131,12,43,43--12
12,CAB214015845,신평9통(유천1리),36.97687871,127.11551178,34010,천안시,131,14,44,44--14
13,CAB214001065,유천2리,36.9768048,127.1113649,34010,천안시,130,5,41,41--5
14,CAB214001065,유천2리,36.9768048,127.1113649,34010,천안시,130,13,42,42--13
15,CAB214001065,유천2리,36.9768048,127.1113649,34010,천안시,131,13,43,43--13
16,CAB214001065,유천2리,36.9768048,127.1113649,34010,천안시,131,13,44,44--13
17,CAB214001065,유천2리,36.9768048,127.1113649,34010,천안시,700,47,234,234--47
18,CAB214001065,유천2리,36.9768048,127.1113649,34010,천안시,700,7,235,235--7
19,CAB214001065,유천2리,36.9768048,127.1113649,34010,천안시,701,42,236,236--42
20,CAB214001065,유천2리,36.9768048,127.1113649,34010,천안시,701,8,237,237--8
21,CAB214015833,유천2리,36.97670058,127.11168637,34010,천안시,130,5,41,41--5
22,CAB214015833,유천2리,36.97670058,127.11168637,34010,천안시,130,13,42,42--13
23,CAB214015833,유천2리,36.97670058,127.11168637,34010,천안시,131,13,43,43--13
24,CAB214015833,유천2리,36.97670058,127.11168637,34010,천안시,131,13,44,44--13
25,CAB214015833,유천2리,36.97670058,127.11168637,34010,천안시,700,47,234,234--47
26,CAB214015833,유천2리,36.97670058,127.11168637,34010,천안시,700,7,235,235--7
27,CAB214015833,유천2리,36.97670058,127.11168637,34010,천안시,701,42,236,236--42
28,CAB214015833,유천2리,36.97670058,127.11168637,34010,천안시,701,8,237,237--8
29,CAB293019022,유천2리,36.68292,127.17727,34010,천안시,130,5,41,41--5
30,CAB293019022,유천2리,36.68292,127.17727,34010,천안시,130,13,42,42--13
31,CAB293019022,유천2리,36.68292,127.17727,34010,천안시,131,13,43,43--13
32,CAB293019022,유천2리,36.68292,127.17727,34010,천안시,131,13,44,44--13
33,CAB293019022,유천2리,36.68292,127.17727,34010,천안시,700,47,234,234--47
34,CAB293019022,유천2리,36.68292,127.17727,34010,천안시,700,7,235,235--7
35,CAB293019022,유천2리,36.68292,127.17727,34010,천안시,701,42,236,236--42
36,CAB293019022,유천2리,36.68292,127.17727,34010,천안시,701,8,237,237--8
37,CAB293019023,유천2리,36.68278,127.17728,34010,천안시,130,5,41,41--5
38,CAB293019023,유천2리,36.68278,127.17728,34010,천안시,130,13,42,42--13
39,CAB293019023,유천2리,36.68278,127.17728,34010,천안시,131,13,43,43--13
40,CAB293019023,유천2리,36.68278,127.17728,34010,천안시,131,13,44,44--13
41,CAB293019023,유천2리,36.68278,127.17728,34010,천안시,700,47,234,234--47
42,CAB293019023,유천2리,36.68278,127.17728,34010,천안시,700,7,235,235--7
43,CAB293019023,유천2리,36.68278,127.17728,34010,천안시,701,42,236,236--42
44,CAB293019023,유천2리,36.68278,127.17728,34010,천안시,701,8,237,237--8
45,CAB214001664,신평11동(유천3리),36.9729227,127.1068232,34010,천안시,130,4,41,41--4
46,CAB214001664,신평11동(유천3리),36.9729227,127.1068232,34010,천안시,131,12,44,44--12
47,CAB214010093,안성천교,36.97262129,127.11591741,34010,천안시,130,7,41,41--7
48,CAB214010093,안성천교,36.97262129,127.11591741,34010,천안시,131,15,44,44--15
49,CAB214010094,노와4리(1반),36.94880627,127.08778741,34010,천안시,119,20,31,31--20
50,CAB214015653,추팔리(종점),36.95410217,127.07940309,34010,천안시,119,22,31,31--22
51,CAB214015653,추팔리(종점),36.95410217,127.07940309,34010,천안시,119,1,32,32--1
52,CAB214048321,추팔리(종점),36.95399794,127.07928241,34010,천안시,119,22,31,31--22
